label,translation
airplane,Avião
alarm clock,Despertador
apple,Maçã
apron,Avental
backpack,Mochila
bag,Bolsa
ball,Bola
banana,Banana
basket,Cesta
basketball,Bola de basquete
bathtub,Banheira
beach umbrella,Guarda-sol
bed,Cama
belt,Cinto
bench,Banco
bicycle,Bicicleta
binoculars,Binóculos
bird,Pássaro
blanket,Cobertor
blender,Liquidificador
board,Quadro
boat,Barco
book,Livro
bookshelf,Estante
boot,Bota
bottle,Garrafa
bowl,Tigela
box,Caixa
bracelet,Pulseira
bread,Pão
briefcase,Pasta executiva
broccoli,Brócolis
broom,Vassoura
brush,Escova
bucket,Balde
bus,Ônibus
button,Botão
cabinet,Armário
cable,Cabo
cake,Bolo
calculator,Calculadora
calendar,Calendário
camera,Câmera
candle,Vela
cap,Boné
car,Carro
card,Cartão
carpet,Tapete
carrot,Cenoura
cart,Carrinho
cat,Gato
ceiling,Teto
cell phone,Celular
chair,Cadeira
charger,Carregador
chessboard,Tabuleiro de xadrez
chocolate,Chocolate
clock,Relógio
coat,Casaco
coffee,Café
comb,Pente
computer,Computador
cookie,Biscoito
cork,Rolha
couch,Sofá
cow,Vaca
crayon,Giz de cera
cup,Copo
curtain,Cortina
cushion,Almofada
desk,Mesa de trabalho
detergent,Detergente
dishwasher,Lava-louças
dog,Cachorro
doll,Boneca
donut,Rosquinha
door,Porta
drawer,Gaveta
dress,Vestido
drill,Furadeira
earphones,Fones de ouvido
earring,Brinco
egg,Ovo
envelope,Envelope
eraser,Borracha
fan,Ventilador
faucet,Torneira
file cabinet,Arquivo
fire extinguisher,Extintor
fish,Peixe
flashlight,Lanterna
floor,Chão
flower,Flor
folder,Pasta
fork,Garfo
fridge,Geladeira
frying pan,Frigideira
game controller,Controle de videogame
garbage bag,Saco de lixo
gift,Presente
glass,Copo de vidro
glasses,Óculos
glove,Luva
glue stick,Cola bastão
grape,Uva
guitar,Violão
hair dryer,Secador de cabelo
hamburger,Hambúrguer
hammer,Martelo
handbag,Bolsa de mão
hanger,Cabide
hat,Chapéu
headphones,Fones de ouvido
helmet,Capacete
highlighter,Marca-texto
horse,Cavalo
hot dog,Cachorro-quente
house,Casa
jacket,Jaqueta
jar,Pote
juice,Suco
kettle,Chaleira
key,Chave
keychain,Chaveiro
keyboard,Teclado
knife,Faca
ladder,Escada
lamp,Luminária
laptop,Notebook
leaf,Folha
lemon,Limão
lettuce,Alface
light,Luz
light bulb,Lâmpada
lighter,Isqueiro
lipstick,Batom
lock,Cadeado
luggage,Mala
lunch box,Marmita
magazine,Revista
map,Mapa
marker,Canetão
mask,Máscara
mechanical pencil,Lapiseira
medicine,Remédio
microwave,Micro-ondas
milk,Leite
mirror,Espelho
monitor,Monitor
mop,Esfregão
motorcycle,Motocicleta
mouse,Mouse
mug,Caneca
nail polish,Esmalte
napkin,Guardanapo
necklace,Colar
newspaper,Jornal
notebook,Caderno
onion,Cebola
orange,Laranja
oven,Forno
paint brush,Pincel
palette,Paleta
pan,Frigideira
paper,Papel
paper clip,Clips
passport,Passaporte
pen,Caneta
pencil,Lápis
person,Pessoa
phone,Telefone
pillow,Travesseiro
pizza,Pizza
plant,Planta
plate,Prato
plug,Plugue
pot,Panela
potato,Batata
potted plant,Planta em vaso
printer,Impressora
projector,Projetor
purse,Bolsa
radio,Rádio
refrigerator,Geladeira
remote,Controle remoto
ring,Anel
router,Roteador
rug,Tapete
ruler,Régua
sandwich,Sanduíche
scarf,Cachecol
scissors,Tesoura
screwdriver,Chave de fenda
shampoo,Xampu
sheep,Ovelha
shelf,Prateleira
shirt,Camisa
shoe,Sapato
shorts,Bermuda
shower,Chuveiro
sink,Pia
skateboard,Skate
skirt,Saia
smartwatch,Relógio inteligente
smartphone,Celular
soap,Sabonete
sock,Meia
sofa,Sofá
speaker,Caixa de som
spoon,Colher
stapler,Grampeador
stop sign,Placa de pare
stove,Fogão
straw,Canudo
strawberry,Morango
suitcase,Mala
sunglasses,Óculos de sol
switch,Interruptor
t-shirt,Camiseta
table,Mesa
tablet,Tablet
tape,Fita adesiva
tea,Chá
teddy bear,Urso de pelúcia
television,Televisão
tennis racket,Raquete de tênis
thermos,Garrafa térmica
ticket,Ingresso
toaster,Torradeira
toilet,Vaso sanitário
tomato,Tomate
toothbrush,Escova de dentes
toothpaste,Pasta de dente
towel,Toalha
toy,Brinquedo
traffic light,Semáforo
train,Trem
trash can,Lixeira
tree,Árvore
tripod,Tripé
trophy,Troféu
truck,Caminhão
umbrella,Guarda-chuva
usb drive,Pen drive
vase,Vaso
wallet,Carteira
wall,Parede
watch,Relógio
water,Água
water bottle,Garrafa de água
watermelon,Melancia
wheel,Roda
window,Janela
wristwatch,Relógio de pulso
zebra,Zebra
zipper,Zíper
acoustic guitar,Violão
adapter,Adaptador
adhesive tape,Fita adesiva
air conditioner,Ar-condicionado
air fryer,Fritadeira elétrica
anchor,Âncora
antenna,Antena
apple pie,Torta de maçã
armchair,Poltrona
ashtray,Cinzeiro
avocado,Abacate
baby bottle,Mamadeira
badge,Crachá
baguette,Baguete
balloon,Balão
bar soap,Sabonete em barra
baseball,Bola de beisebol
battery,Pilha
beanie,Gorro
bean,Feijão
beer bottle,Garrafa de cerveja
bell,Sino
bell pepper,Pimentão
binder,Fichário
blackboard,Lousa
bleach,Água sanitária
blouse,Blusa
blueberry,Mirtilo
booklet,Folheto
bookmark,Marcador de página
bracelet watch,Relógio de pulseira
bucket hat,Chapéu de pescador
bunk bed,Beliche
butter,Manteiga
cabbage,Repolho
cactus,Cacto
can,Lata
can opener,Abridor de lata
candy,Doce
capsule,Cápsula
car key,Chave do carro
car seat,Banco de carro
cardboard box,Caixa de papelão
charging cable,Cabo carregador
cheese,Queijo
chicken,Frango
chili pepper,Pimenta
cloth,Pano
clothes hanger,Cabide
coffee maker,Cafeteira
coin,Moeda
colander,Escorredor
computer tower,Gabinete de computador
conditioner,Condicionador
cone,Cone
cookie jar,Pote de biscoitos
corkscrew,Saca-rolhas
cotton swab,Cotonete
credit card,Cartão de crédito
cutting board,Tábua de corte
deodorant,Desodorante
diary,Diário
dining table,Mesa de jantar
doormat,Capacho
dustpan,Pá de lixo
electric fan,Ventilador elétrico
electric kettle,Chaleira elétrica
extension cord,Extensão elétrica
face mask,Máscara facial
fanny pack,Pochete
file folder,Pasta de arquivo
fire hydrant,Hidrante
flash drive,Pen drive
floss,Fio dental
flour,Farinha
flower pot,Vaso de planta
food container,Recipiente de comida
football,Bola de futebol americano
frisbee,Frisbee
garlic,Alho
gas stove,Fogão a gás
gift bag,Sacola de presente
goggles,Óculos de proteção
grater,Ralador
green bean,Vagem
hair brush,Escova de cabelo
hand sanitizer,Álcool em gel
hand soap,Sabonete líquido
hand towel,Toalha de mão
hard drive,Disco rígido
headset,Headset
hoodie,Moletom
ice cream,Sorvete
id card,Documento de identidade
iron,Ferro de passar
jam,Geleia
jeans,Calça jeans
jug,Jarra
jump rope,Corda de pular
kitchen towel,Pano de prato
ladle,Concha
lanyard,Cordão de crachá
laundry basket,Cesto de roupas
lego brick,Peça de lego
light switch,Interruptor
lime,Lima
lunch bag,Lancheira
makeup brush,Pincel de maquiagem
mango,Manga
measuring cup,Copo medidor
meat,Carne
memory card,Cartão de memória
microphone,Microfone
nightstand,Criado-mudo
orange juice,Suco de laranja
paint bucket,Balde de tinta
pajamas,Pijama
peach,Pêssego
pear,Pera
pepper shaker,Pimenteiro
perfume,Perfume
photo frame,Porta-retrato
pineapple,Abacaxi
plastic bag,Sacola plástica
pliers,Alicate
popcorn,Pipoca
popsicle,Picolé
power bank,Carregador portátil
power outlet,Tomada
prayer beads,Terço
presentation remote,Controle de apresentação
pressure cooker,Panela de pressão
protractor,Transferidor
pumpkin,Abóbora
raincoat,Capa de chuva
receipt,Recibo
red pepper,Pimentão vermelho
rice,Arroz
rolling pin,Rolo de massa
rubber band,Elástico
safety pin,Alfinete de segurança
salt shaker,Saleiro
sauce bottle,Garrafa de molho
school bag,Mochila escolar
screen,Tela
screw,Parafuso
serving spoon,Colher de servir
shopping bag,Sacola de compras
shovel,Pá
side table,Mesa lateral
soap dispenser,Dispenser de sabonete
soda can,Lata de refrigerante
soundbar,Barra de som
sponge,Esponja
spray bottle,Borrifador
sticker,Adesivo
storage box,Caixa organizadora
street sign,Placa de rua
sugar,Açúcar
tablet pen,Caneta para tablet
tea bag,Sachê de chá
teapot,Bule
thermometer,Termômetro
tie,Gravata
tissue,Lenço
tissue box,Caixa de lenços
tomato sauce,Molho de tomate
toolbox,Caixa de ferramentas
toothpick,Palito de dente
toy car,Carrinho de brinquedo
toy train,Trem de brinquedo
tuna can,Lata de atum
vacuum cleaner,Aspirador de pó
vegetable peeler,Descascador
vest,Colete
video game console,Console de videogame
vinegar,Vinagre
washing machine,Máquina de lavar
water dispenser,Bebedouro
whiteboard,Quadro branco
wire,Fio
wrench,Chave inglesa
yogurt,Iogurte
